crime,scope,t,trend,trend_season,shared_time_effect
burglary,CSP,0,-6.547403946178404,-6.547403946178404,0.05720712851719838
burglary,CSP,1,-6.524099039681428,-6.484623993391312,-0.01769951691552917
burglary,CSP,2,-6.501442027252869,-6.378356164668856,0.009833950336447335
burglary,CSP,3,-6.480080802961148,-6.403318284174481,-0.0062496954245610725
burglary,CSP,4,-6.460663260874682,-6.460663260874682,-0.027384649195841434
burglary,CSP,5,-6.44383729506189,-6.404362248771775,-0.040288244728990535
burglary,CSP,6,-6.430250799591189,-6.307164937007175,-0.04702885398991992
burglary,CSP,7,-6.420551668530998,-6.343789149744331,-0.005400166944176873
burglary,CSP,8,-6.415387795949736,-6.415387795949736,0.038099872743256186
burglary,CSP,9,-6.415399228275189,-6.375924181985074,0.010495956067890956
burglary,CSP,10,-6.4209209349054985,-6.297835072321484,-0.006471746757090815
burglary,CSP,11,-6.431891579386805,-6.355129060600137,-0.03397652517472339
burglary,CSP,12,-6.448223339478105,-6.448223339478105,-0.006456945680443997
burglary,CSP,13,-6.4698283929384,-6.4303533466482845,0.011945825697470233
burglary,CSP,14,-6.496618917526685,-6.37353305494267,0.036662491092782745
burglary,CSP,15,-6.52850709100196,-6.451744572215292,0.039944041620633364
burglary,CSP,16,-6.565405091123224,-6.565405091123224,0.06257951516894285
burglary,CSP,17,-6.607225095649474,-6.567750049359359,0.0480441185011334
burglary,CSP,18,-6.653728534964262,-6.530642672380249,0.06492413324110556
burglary,CSP,19,-6.703562722129481,-6.626800203342814,0.10500321719362317
burglary,CSP,20,-6.754875619525852,-6.754875619525852,-0.1947243298426934
burglary,CSP,21,-6.805812834106361,-6.766337787816245,-0.04226816674988837
burglary,CSP,22,-6.854519972823985,-6.731434110239971,-0.06114532773998406
burglary,CSP,23,-6.89914264263171,-6.8223801238450426,-0.1579701728141424
burglary,CSP,24,-6.937826450482518,-6.937826450482518,-0.07655875663115423
burglary,CSP,25,-6.96871700332939,-6.929241957039275,-0.011997356280466333
burglary,CSP,26,-6.989965475619003,-6.866879613034989,0.05284468958305735
burglary,CSP,27,-7.000903350461094,-6.924140831674426,0.05752972481607542
burglary,CSP,28,-7.003495535482519,-7.003495535482519,0.12200961423866695
burglary,CSP,29,-7.000063257906531,-6.9605882116164155,0.05262921583559056
burglary,CSP,30,-6.992927744956377,-6.869841882372363,0.020526144627383572
burglary,CSP,31,-6.98441022385531,-6.9076477050686425,0.051032315482883825
burglary,CSP,32,-6.976831921826582,-6.976831921826582,0.021615773148553594
burglary,CSP,33,-6.972514066093441,-6.933039019803326,0.014947441191287427
burglary,CSP,34,-6.973777883879141,-6.850692021295128,-0.027558528092416174
burglary,CSP,35,-6.982824069610762,-6.906061550824095,-0.030618552736862422
burglary,CSP,36,-7.0000497899504985,-7.0000497899504985,0.011146348608164982
burglary,CSP,37,-7.024463852315787,-6.984988806025671,-0.0375468644908815
burglary,CSP,38,-7.055039350702974,-6.93195348811896,-0.07468386161817053
burglary,CSP,39,-7.090749379108412,-7.013986860321744,-0.07721706313120466
burglary,CSP,40,-7.130567031528451,-7.130567031528451,-0.008223163912357058
burglary,CSP,41,-7.17346540195944,-7.133990355669326,0.010708158099687304
burglary,CSP,42,-7.218417584397731,-7.095331721813716,0.033598889722532006
burglary,CSP,43,-7.26439667283967,-7.187634154053002,0.05816717236716015
burglary,PFA,0,-6.491033341916973,-6.491033341916973,0.07330121543987997
burglary,PFA,1,-6.471674644328283,-6.430586849103469,-0.011800328873462343
burglary,PFA,2,-6.452889237122808,-6.333952554951973,1.6402214882234063e-05
burglary,PFA,3,-6.43525041068376,-6.363256895044249,-0.014917571322564611
burglary,PFA,4,-6.419331455394349,-6.419331455394349,-0.04069734975593657
burglary,PFA,5,-6.405705661637788,-6.364617866412974,-0.04648102046523292
burglary,PFA,6,-6.394946319797292,-6.276009637626456,-0.04963503694374119
burglary,PFA,7,-6.387626720256074,-6.315633204616564,-0.0016824835270900695
burglary,PFA,8,-6.384320153397346,-6.384320153397346,0.03780989504438013
burglary,PFA,9,-6.385593821612132,-6.344506026387318,0.013417048693742422
burglary,PFA,10,-6.391778256595161,-6.272841574424325,0.0025403886615500476
burglary,PFA,11,-6.402896546435668,-6.330903030796158,-0.02334160999507089
burglary,PFA,12,-6.418951232249266,-6.418951232249266,-0.002178055581804321
burglary,PFA,13,-6.439944855151559,-6.398857059926745,0.011665524194696745
burglary,PFA,14,-6.465879956258158,-6.346943274087322,0.036832270648934844
burglary,PFA,15,-6.496759076684666,-6.424765561045155,0.037829367966857354
burglary,PFA,16,-6.532584757546695,-6.532584757546695,0.058658580928957635
burglary,PFA,17,-6.573359539959851,-6.532271744735037,0.03928950557805556
burglary,PFA,18,-6.6189255505753675,-6.499988868404532,0.06178303722858619
burglary,PFA,19,-6.667939352893722,-6.595945837254211,0.1023772813079326
burglary,PFA,20,-6.718526137502155,-6.718526137502155,-0.19382538672235047
burglary,PFA,21,-6.7688085885119005,-6.727720793287086,-0.04291518606171984
burglary,PFA,22,-6.816909390034192,-6.697972707863357,-0.05804931667955146
burglary,PFA,23,-6.860951226180266,-6.788957710540755,-0.15070448520442986
burglary,PFA,24,-6.899056781061355,-6.899056781061355,-0.0737936778898907
burglary,PFA,25,-6.929348738788696,-6.888260943563882,-0.008014548944066517
burglary,PFA,26,-6.94995539488205,-6.831018712711215,0.05325782294787962
burglary,PFA,27,-6.960194663469304,-6.888201147829793,0.05810990482563476
burglary,PFA,28,-6.9620386549125,-6.9620386549125,0.11940573909660797
burglary,PFA,29,-6.957818609719534,-6.91673081449472,0.048962602971507875
burglary,PFA,30,-6.949865768398295,-6.83092908622746,0.020932672741433227
burglary,PFA,31,-6.940511371456679,-6.868517855817168,0.04816759064796612
burglary,PFA,32,-6.932086659402578,-6.932086659402578,0.01688473301275349
burglary,PFA,33,-6.926922872743883,-6.885835077519069,0.010279979914497426
burglary,PFA,34,-6.927351251988488,-6.808414569817653,-0.03310759823884413
burglary,PFA,35,-6.935582041765755,-6.863588526126245,-0.036202515261870925
burglary,PFA,36,-6.952015029855929,-6.952015029855929,0.014999804891001542
burglary,PFA,37,-6.9756563107717335,-6.934568515546919,-0.017727726989429836
burglary,PFA,38,-7.005476128395225,-6.886539446224389,-0.064611643127272
burglary,PFA,39,-7.040444726608453,-6.968451210968943,-0.0789833597404917
